"type","value","source"
"url","tcp://mail.globalstudyhub.org:587","Mandiant"
"hash_md5","8c30c1aba1303fd2fc70474138ae2249","Mandiant"
"hash_md5","76ff39ae2e1c6cd0b22f180055a65fc6","Mandiant"
"hash_md5","1d86ae53f3aa4a2dbb53cb5bfccb14cb","Mandiant"
"hash_md5","7a72d4a0b4dcc6226c751fe626a05912","Mandiant"
"hash_md5","1c409cdc218cf4368ab1aacbeeca9919","Mandiant"
"hash_md5","c905bee14f7b2b61dbc9355c90066f06","Mandiant"
"url","tcp://mail.mailviet.net:587","Mandiant"
"domain","mail.mailviet.net","Mandiant"
"url","http://leka25.s3.us-east-1.amazonaws.com/mastonic2.1.vbs","Mandiant"
"hash_md5","5e863c76dc2bb3641cf4008a1bee228a","Mandiant"
"hash_md5","cf3730065ea41e334dd1c0cd9a9e645f","Mandiant"
"hash_md5","b5f5caa4880f73b0f381c7193490d4cc","Mandiant"
"hash_md5","e03bb8e7cff1a931fff0f9b7b9ee3da7","Mandiant"
"hash_md5","dea1c61d7fde31399b59dcdc60b11351","Mandiant"
"hash_md5","8e7ed841de18b56421ba089237904513","Mandiant"
"hash_md5","8ab4c7070ddd3c87aa7df3c969885f00","Mandiant"
"hash_md5","682b359a42fe6d5b15225d70b06b5b8f","Mandiant"
"hash_md5","4003ed0cf0d2e29150f6d3d7956e215e","Mandiant"
"hash_md5","d295212b7065137b4c870990bc89c0bf","Mandiant"
"hash_md5","f4fa4e7cb8f1cc72f125f86b30468779","Mandiant"
"hash_md5","0ebaef59df08fcf577c7e60da5c22bfe","Mandiant"
"hash_md5","85cb80a95080c347e9a62db238a3955b","Mandiant"
