"type","value","source"
"domain","ggl.whoscaller.net","Mandiant"
"hash_md5","ee6e0fc26e94e5b2e52d57ac035b36ff","Mandiant"
"domain","cgf.goldplusapp.net","Mandiant"
"domain","adoptewer.com","Mandiant"
"hash_md5","46923e10db90bde295960851245f199a","Mandiant"
"domain","wyo.titeperformance.com","Mandiant"
"domain","www.weetogether.top","Mandiant"
"domain","www.onlinewxapp.net","Mandiant"
"domain","www.onlineweixin.net","Mandiant"
"domain","www.online-wechat.com","Mandiant"
"domain","www.lodepot.com","Mandiant"
"domain","widelygram.org","Mandiant"
"domain","who.goldplusapp.net","Mandiant"
"domain","vpf.titeperformance.com","Mandiant"
"domain","tryhrwserf.com","Mandiant"
"domain","thetubeplus.com","Mandiant"
"domain","telegramtor.com","Mandiant"
"domain","system.onlinegamersgroup.com","Mandiant"
"domain","pmumail.com","Mandiant"
"domain","oha.alpinemap.net","Mandiant"
"domain","ntc-ftth.net","Mandiant"
"domain","mail.pmumail.com","Mandiant"
"domain","m.leak-news.com","Mandiant"
"domain","jkiohreh.com","Mandiant"
"domain","img.rewrwer.com","Mandiant"
"domain","idc-ctbto.org","Mandiant"
"url","https://www.youtube.com/@josephjoey3499","Mandiant"
"url","https://www.youtube.com/@bradshannon334","Mandiant"
"domain","groupgram.org","Mandiant"
"domain","fvbyavgyea.com","Mandiant"
"domain","fgt.lookincategory.com","Mandiant"
"domain","edr.lookincategory.com","Mandiant"
"domain","dvr.collinformations.com","Mandiant"
"domain","download.apkbazar.biz","Mandiant"
"domain","doa.rondwsign.com","Mandiant"
"domain","djibdiplomatie.com","Mandiant"
"domain","cde.mpoxcases.com","Mandiant"
"domain","big.collinformations.com","Mandiant"
"domain","bae.cisconline.net","Mandiant"
"domain","axisupdate.com","Mandiant"
"domain","aua.rondwsign.com","Mandiant"
"domain","aru.alpinemap.net","Mandiant"
"domain","apps.androidupdated.net","Mandiant"
"domain","ansec.com","Mandiant"
"domain","aar.tokenmajorp.com","Mandiant"
"domain","aar.alpinemap.net","Mandiant"
"domain","uyapkfinder.com","Mandiant"
"domain","microtik.net","Mandiant"
"domain","fre.lookincategory.com","Mandiant"
"domain","0.tcp.in.ngrok.io","Mandiant"
"domain","0.tcp.jp.ngrok.io","Mandiant"
"domain","0.tcp.sa.ngrok.io","Mandiant"
"domain","06wmffgn1.localto.net","Mandiant"
"domain","1.tcp.sa.ngrok.io","Mandiant"
"domain","123123123qqqqqqq-57832.portmap.host","Mandiant"
"domain","1231dasdsadasd-30978.portmap.io","Mandiant"
"domain","1305-43463.portmap.host","Mandiant"
"domain","1337chip-51541.portmap.io","Mandiant"
"domain","16.ip.eu.ply.gg","Mandiant"
"domain","16.ip.gl.ply.gg","Mandiant"
"domain","17.ip.gl.ply.gg","Mandiant"
"domain","18.ip.gl.ply.gg","Mandiant"
"domain","19.ip.gl.ply.gg","Mandiant"
"domain","2.tcp.eu.ngrok.io","Mandiant"
"domain","2.tcp.ngrok.io","Mandiant"
"domain","20.ip.gl.ply.gg","Mandiant"
"domain","21.ip.gl.ply.gg","Mandiant"
"domain","22.ip.gl.ply.gg","Mandiant"
"domain","23.ip.gl.ply.gg","Mandiant"
"domain","24.ip.gl.ply.gg","Mandiant"
"domain","25.ip.gl.ply.gg","Mandiant"
"domain","26.ip.gl.ply.gg","Mandiant"
"domain","27.ip.gl.ply.gg","Mandiant"
"domain","27.ip.gl.py.gg","Mandiant"
"domain","29emftz.localto.net","Mandiant"
"domain","2fz3ht9yb.localto.net","Mandiant"
"domain","305v33-40382.portmap.host","Mandiant"
"domain","31s5tnm7a.localto.net","Mandiant"
"domain","3214r214r12412-50274.portmap.io","Mandiant"
"domain","38qiuyrh983w-47215.portmap.host","Mandiant"
"domain","398whyfrufheutji-25824.portmap.host","Mandiant"
"domain","3by4rdokduo2h8nu2k3u0x.giize.com","Mandiant"
"domain","3skr.uncofig.com","Mandiant"
"domain","4.tcp.eu.ngrok.io","Mandiant"
"domain","41009.portmap.host","Mandiant"
