"type","value","source"
"ip","91.238.181.96","Mandiant"
"ip","91.238.181.92","Mandiant"
"ip","89.218.189.214","Mandiant"
"ip","88.214.25.125","Mandiant"
"ip","88.214.25.123","Mandiant"
"ip","88.214.25.122","Mandiant"
"ip","88.214.25.121","Mandiant"
"ip","79.174.24.18","Mandiant"
"ip","75.119.153.206","Mandiant"
"ip","51.77.153.15","Mandiant"
"ip","51.159.54.94","Mandiant"
"ip","5.182.17.111","Mandiant"
"ip","47.83.188.55","Mandiant"
"ip","45.58.143.194","Mandiant"
"ip","45.221.24.2","Mandiant"
"ip","43.248.133.168","Mandiant"
"ip","42.51.42.48","Mandiant"
"ip","212.23.217.146","Mandiant"
"ip","209.141.43.134","Mandiant"
"ip","207.154.249.76","Mandiant"
"ip","202.46.155.230","Mandiant"
"ip","193.37.70.233","Mandiant"
"ip","192.42.116.219","Mandiant"
"ip","192.42.116.217","Mandiant"
"ip","192.42.116.214","Mandiant"
"ip","192.42.116.178","Mandiant"
"ip","192.34.59.75","Mandiant"
"ip","192.155.88.231","Mandiant"
"ip","191.37.68.176","Mandiant"
"ip","188.226.210.44","Mandiant"
"ip","185.236.228.66","Mandiant"
"ip","185.186.84.13","Mandiant"
"ip","183.91.87.85","Mandiant"
"ip","178.32.115.124","Mandiant"
"ip","178.128.253.94","Mandiant"
"ip","177.72.195.114","Mandiant"
"ip","176.241.83.187","Mandiant"
"ip","176.235.182.125","Mandiant"
"ip","167.71.228.234","Mandiant"
"ip","161.35.112.112","Mandiant"
"ip","154.192.74.49","Mandiant"
"ip","146.71.50.196","Mandiant"
"ip","146.190.142.139","Mandiant"
"ip","144.126.133.247","Mandiant"
"ip","134.209.26.3","Mandiant"
"ip","125.209.84.253","Mandiant"
"ip","117.190.128.247","Mandiant"
"ip","115.231.78.3","Mandiant"
"ip","115.231.78.14","Mandiant"
"ip","111.170.22.8","Mandiant"
"ip","110.39.172.238","Mandiant"
"ip","104.195.12.43","Mandiant"
"ip","104.195.12.41","Mandiant"
"ip","104.195.12.40","Mandiant"
"ip","104.195.12.36","Mandiant"
"ip","102.164.230.250","Mandiant"
"ip","84.247.173.42","Mandiant"
"ip","59.55.128.147","Mandiant"
"ip","58.120.245.189","Mandiant"
"ip","47.83.136.153","Mandiant"
"ip","203.96.226.45","Mandiant"
"ip","188.165.253.193","Mandiant"
"ip","177.23.200.14","Mandiant"
"ip","152.228.162.85","Mandiant"
"ip","145.239.198.34","Mandiant"
"ip","115.231.78.11","Mandiant"
"ip","104.195.12.42","Mandiant"
"ip","104.195.12.35","Mandiant"
"ip","101.36.108.9","Mandiant"
"ip","85.202.46.96","Mandiant"
"ip","74.48.204.172","Mandiant"
"ip","61.184.3.171","Mandiant"
"ip","45.79.115.59","Mandiant"
"ip","45.79.115.117","Mandiant"
"ip","45.194.86.119","Mandiant"
"ip","205.185.117.108","Mandiant"
"ip","20.65.193.233","Mandiant"
"ip","20.205.16.177","Mandiant"
"ip","2.58.113.111","Mandiant"
"ip","198.54.129.60","Mandiant"
"ip","185.157.247.97","Mandiant"
"ip","177.107.66.164","Mandiant"
"ip","161.35.122.196","Mandiant"
"ip","152.32.140.206","Mandiant"
"ip","150.241.123.43","Mandiant"
"ip","141.98.169.82","Mandiant"
"ip","130.61.27.168","Mandiant"
"ip","103.31.119.10","Mandiant"
"ip","45.232.73.223","Mandiant"
