"type","value","source"
"hash_md5","dd7fa15e22c739c63a092bee501ddc33","Mandiant"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
,,"Microsoft"
