"type","value","source"
"domain","abaydou86v4jvzx.top","Mandiant"
"domain","aszze4rggizue.top","Mandiant"
"domain","dkcnhcdeikhbmaa.top","Mandiant"
"domain","eeiffmcemgaieag.top","Mandiant"
"domain","jlrmktqaknsqomc.top","Mandiant"
"domain","kmleddclgbgannn.top","Mandiant"
"domain","lamcnajlkbdmihk.top","Mandiant"
"domain","nuzyyeyuvhz33ue.top","Mandiant"
"domain","wskswpdmnxmkgau.top","Mandiant"
"hash_md5","07486d964ef9d5355a10c02289be4182","Mandiant"
"url","http://veahywfmheavwyk.top/1.php?s=527","Mandiant"
"url","https://pastes.io/raw/agshshsw3","Mandiant"
"domain","youtude.net","Mandiant"
"domain","fmt2as.ddns.net","Mandiant"
"domain","wzzhelp.top","Mandiant"
"hash_md5","6f1449a37aaf2fd08a7e03c8ea6566ae","Mandiant"
"hash_md5","a6266af7e353992daf46e1f8f3759151","Mandiant"
"hash_md5","f319f4d630f4f493a1ae0f7d6cc31790","Mandiant"
