type,value,source,articlename
domain,assumedtribsosp.shop,Mandiant,indicators-campaign--3ac8d482-a08f-549a-9b5d-7b6435471a94.csv
domain,boattyownerwrv.shop,Mandiant,indicators-campaign--3ac8d482-a08f-549a-9b5d-7b6435471a94.csv
domain,budgetttysnzm.shop,Mandiant,indicators-campaign--3ac8d482-a08f-549a-9b5d-7b6435471a94.csv
domain,chippyfroggsyhz.shop,Mandiant,indicators-campaign--3ac8d482-a08f-549a-9b5d-7b6435471a94.csv
domain,creepydxzoxmj.shop,Mandiant,indicators-campaign--3ac8d482-a08f-549a-9b5d-7b6435471a94.csv
domain,definitonizmnx.shop,Mandiant,indicators-campaign--3ac8d482-a08f-549a-9b5d-7b6435471a94.csv
domain,empiredzmwnx.shop,Mandiant,indicators-campaign--3ac8d482-a08f-549a-9b5d-7b6435471a94.csv
domain,rainbowmynsjn.shop,Mandiant,indicators-campaign--3ac8d482-a08f-549a-9b5d-7b6435471a94.csv
domain,sulphurhsum.shop,Mandiant,indicators-campaign--3ac8d482-a08f-549a-9b5d-7b6435471a94.csv
hash_md5,6d53e16b9ab0cdce482b735deefa9298,Mandiant,indicators-campaign--3ac8d482-a08f-549a-9b5d-7b6435471a94.csv
hash_md5,b912b7401356bfa2602126d4728a0292,Mandiant,indicators-campaign--3ac8d482-a08f-549a-9b5d-7b6435471a94.csv
url,https://assumedtribsosp.shop,Mandiant,indicators-campaign--3ac8d482-a08f-549a-9b5d-7b6435471a94.csv
url,https://boattyownerwrv.shop,Mandiant,indicators-campaign--3ac8d482-a08f-549a-9b5d-7b6435471a94.csv
url,https://budgetttysnzm.shop,Mandiant,indicators-campaign--3ac8d482-a08f-549a-9b5d-7b6435471a94.csv
url,https://chippyfroggsyhz.shop,Mandiant,indicators-campaign--3ac8d482-a08f-549a-9b5d-7b6435471a94.csv
url,https://creepydxzoxmj.shop,Mandiant,indicators-campaign--3ac8d482-a08f-549a-9b5d-7b6435471a94.csv
url,https://definitonizmnx.shop,Mandiant,indicators-campaign--3ac8d482-a08f-549a-9b5d-7b6435471a94.csv
url,https://empiredzmwnx.shop,Mandiant,indicators-campaign--3ac8d482-a08f-549a-9b5d-7b6435471a94.csv
