"type","value","source","articlename"
"domain","tastedata.shop","Mandiant","Actor of Unknown Motivations Distributes SHADOWLADDER.IDAT via Fake reCAPTCHAs.csv"
"hash_md5","47108597e72b9b2abbec640bd108bcd4","Mandiant","Actor of Unknown Motivations Distributes SHADOWLADDER.IDAT via Fake reCAPTCHAs.csv"
"hash_md5","78145e32a821b2b543b5b84ce9ae9dd2","Mandiant","Actor of Unknown Motivations Distributes SHADOWLADDER.IDAT via Fake reCAPTCHAs.csv"
"hash_md5","e4d59f25997603b092e55b0041762565","Mandiant","Actor of Unknown Motivations Distributes SHADOWLADDER.IDAT via Fake reCAPTCHAs.csv"
"domain","pweobmxdlboi.com","Mandiant","UNC6010 Targets Central Asia with PAPERPUCK Backdoor Using Telegram for C2; Suspected Ties to Republic of Kazakhstan.csv"
"url","https://pweobmxdlboi.com/udadd.exe","Mandiant","UNC6010 Targets Central Asia with PAPERPUCK Backdoor Using Telegram for C2; Suspected Ties to Republic of Kazakhstan.csv"
"url","https://pweobmxdlboi.com/iufhtyhgyfugj.php","Mandiant","UNC6010 Targets Central Asia with PAPERPUCK Backdoor Using Telegram for C2; Suspected Ties to Republic of Kazakhstan.csv"
"url","https://api.telegram.org/bot7898508392:AAF5FPbJ1jlPQfqCIGnx-zNdw2R5tF_Xxt0/getUpdates?offset=124","Mandiant","UNC6010 Targets Central Asia with PAPERPUCK Backdoor Using Telegram for C2; Suspected Ties to Republic of Kazakhstan.csv"
"url","https://api.telegram.org/bot7898508392:AAF5FPbJ1jlPQfqCIGnx-zNdw2R5tF_Xxt0","Mandiant","UNC6010 Targets Central Asia with PAPERPUCK Backdoor Using Telegram for C2; Suspected Ties to Republic of Kazakhstan.csv"
"url","https://api.telegram.org/bot6220413603:AAFffxoSOpZgTJWRFs79VYWXk-F1OvB7v8c/sendMessage?chat_id=6086512500&text=~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~","Mandiant","UNC6010 Targets Central Asia with PAPERPUCK Backdoor Using Telegram for C2; Suspected Ties to Republic of Kazakhstan.csv"
"url","https://api.telegram.org/bot6220413603:AAFffxoSOpZgTJWRFs79VYWXk-F1OvB7v8c/sendDocument","Mandiant","UNC6010 Targets Central Asia with PAPERPUCK Backdoor Using Telegram for C2; Suspected Ties to Republic of Kazakhstan.csv"
"url","https://pweobmxdlboi.com/147.exe","Mandiant","UNC6010 Targets Central Asia with PAPERPUCK Backdoor Using Telegram for C2; Suspected Ties to Republic of Kazakhstan.csv"
"url","https://api.telegram.org/bot6220413603:AAFffxoSOpZgTJWRFs79VYWXk-F1OvB7v8c/sendMessage?chat_id=6086512500&text=MasterKey","Mandiant","UNC6010 Targets Central Asia with PAPERPUCK Backdoor Using Telegram for C2; Suspected Ties to Republic of Kazakhstan.csv"
"hash_md5","ece3474060897c2807c82e2b5ace589d","Mandiant","UNC6010 Targets Central Asia with PAPERPUCK Backdoor Using Telegram for C2; Suspected Ties to Republic of Kazakhstan.csv"
"hash_md5","dc3c9e494cafd07ed28a9acc258fe472","Mandiant","UNC6010 Targets Central Asia with PAPERPUCK Backdoor Using Telegram for C2; Suspected Ties to Republic of Kazakhstan.csv"
"hash_md5","a30724acacbaadf1b75be42742bb3d98","Mandiant","UNC6010 Targets Central Asia with PAPERPUCK Backdoor Using Telegram for C2; Suspected Ties to Republic of Kazakhstan.csv"
"hash_md5","87e0762f6625aed58322c3a434e9cea5","Mandiant","UNC6010 Targets Central Asia with PAPERPUCK Backdoor Using Telegram for C2; Suspected Ties to Republic of Kazakhstan.csv"
"hash_md5","6b278ccae970795c9b7d3ece8ae103e2","Mandiant","UNC6010 Targets Central Asia with PAPERPUCK Backdoor Using Telegram for C2; Suspected Ties to Republic of Kazakhstan.csv"
"hash_md5","619093808e8f75578ae06ffbae5dcf9a","Mandiant","UNC6010 Targets Central Asia with PAPERPUCK Backdoor Using Telegram for C2; Suspected Ties to Republic of Kazakhstan.csv"
"hash_md5","3ec7ce90ed93c66a416458a5556b3e8b","Mandiant","UNC6010 Targets Central Asia with PAPERPUCK Backdoor Using Telegram for C2; Suspected Ties to Republic of Kazakhstan.csv"
"hash_md5","3d9e8360b665c21a8c2475e14a5ad80d","Mandiant","UNC6010 Targets Central Asia with PAPERPUCK Backdoor Using Telegram for C2; Suspected Ties to Republic of Kazakhstan.csv"
"hash_md5","30579bd0b2a1d1e633c6e80923001653","Mandiant","UNC6010 Targets Central Asia with PAPERPUCK Backdoor Using Telegram for C2; Suspected Ties to Republic of Kazakhstan.csv"
"hash_md5","7969edaf9cbe25fab5d950cc9f3294f2","Mandiant","UNC6010 Targets Central Asia with PAPERPUCK Backdoor Using Telegram for C2; Suspected Ties to Republic of Kazakhstan.csv"
"hash_md5","97c8bad532f5ea539d0d8b93465dda15","Mandiant","UNC6010 Targets Central Asia with PAPERPUCK Backdoor Using Telegram for C2; Suspected Ties to Republic of Kazakhstan.csv"
"hash_md5","34fe6278addcf3c2080b5a22c4b51c01","Mandiant","UNC6010 Targets Central Asia with PAPERPUCK Backdoor Using Telegram for C2; Suspected Ties to Republic of Kazakhstan.csv"
