"type","value","source","articlename"
"hash_md5","1013a1560acd661924673f97c7879d12","Threatview","Threatview"
"hash_md5","16c370fba130d98acdc693e0ea837cb7","Extracted","Threatview"
"hash_md5","5938ff2fb71171100e4ba38c91a62143","Threatview","Threatview"
"hash_md5","68315ad0b43a379b3d60913bc98335da","Threatview","Threatview"
"hash_md5","6d55dda53e21bee4d6a005d2a886a0c1","Threatview","Threatview"
"hash_md5","8d428d2ba3347e27ccabac95e5608167","Extracted","Threatview"
"hash_md5","aba7688ba6f225124da6ab49cd6edf0d","Threatview","Threatview"
"hash_md5","b132adfbd49409f64880244e34e2581b","Threatview","Threatview"
"hash_md5","F392807DA3EE1F3E9702CE5FA91D418D","Extracted","Threatview"
"hash_md5","fc6ac85fc9367c51b678fe77ad2d94d3","Extracted","Threatview"
"hash_sha256","d465172175d35d493fb1633e237700022bd849fa123164790b168b8318acb090","Extracted","Threatview"
