type,value,source,articlename
hash_md5,1f7f9fdb6aa92545b36f81988fd4ed31,Threatview,
hash_md5,298ccded6d491fe96651a34f982b6fde,Threatview,
hash_md5,30224401aabd4d35fab14648119dca47,Threatview,
hash_md5,5a55bdb8a64408489e39df3355d57b63,Threatview,
hash_md5,663912a7f564c94105df9aef9a02248a,Threatview,
hash_md5,701a15d5a597b7ae8154e1e8c008df8f,Threatview,
hash_md5,722712f3dbdebac24d7445737dc4adae,Threatview,
hash_md5,7bc80dce81633c264d1d36664b9bf047,Threatview,
hash_md5,8741628e38315c11a7d7cf8d791f8cca,Threatview,
hash_md5,a13cd4e30c3bf61c6051e93dab35bc2d,Threatview,
hash_md5,a7570b04f35e7d5bff4d0113b5e22571,Threatview,
hash_md5,e373689a16a859fd027c7168c77b2041,Threatview,
hash_md5,ebda2b7bb07893b2315e38cacad352bd,Threatview,
hash_md5,f1b6c9239fc1eb4f777d9cd13d01fc12,Threatview,
hash_md5,fd4107ffc2eac99dea225a17600a8841,Threatview,
hash_sha256,0bfcc531bc9e3297f64be41186c556f1c05d3e8172f91d2f4a243b6bf37aa021,Google TI,APT-Grade PDFSider Malware Used by Ransomware Groups.csv
hash_sha256,252c728d0356f6f2927a7051c891addfa03535fc47abe049423076038fa74e35,Threatview,
hash_sha256,72d902a067f67efbe9c6c37a8fb08a08e6c3b7124dc03df9293a3c36886a3da6,Threatview,
ip,1.9.2.12,Threatview,
ip,103.99.208.136,Threatview,
ip,104.21.78.6,Threatview,
ip,108.167.149.240,Threatview,
ip,144.31.219.13,Threatview,
ip,149.3.170.165,Threatview,
ip,161.97.127.73,Threatview,
ip,172.67.214.68,Threatview,
ip,18.219.179.54,Threatview,
ip,185.93.89.85,Threatview,
ip,188.114.96.0,Threatview,
ip,193.23.200.134,Threatview,
ip,213.176.73.145,Threatview,
ip,45.93.20.195,Threatview,
ip,45.93.20.198,Threatview,
ip,45.93.20.61,Threatview,
ip,5.101.83.21,Threatview,
ip,8.219.249.76,Threatview,
ip,89.46.110.75,Threatview,
ip,92.53.96.165,Threatview,
ip,95.164.86.148,Threatview,
