type,value,source,articlename
domain,a2abotnet.com,Google TI,Claude LLM artifacts abused to push Mac infostealers in ClickFix attack.csv
domain,ad.scgawj.com,Google TI,Cisco Talos Discloses China-Nexus DKnife Framework Targeting Edge Devices.csv
domain,adsfsa.com,Google TI,Campaign 26.007 China-Nexus Threat Actor Deploys PoisonPlug and Web Shells Targeting SAP Infrastructure for Persistence and Lateral Movement.csv
domain,appdev.dismttldsreosfile.com,Google TI,Campaign 26.007 China-Nexus Threat Actor Deploys PoisonPlug and Web Shells Targeting SAP Infrastructure for Persistence and Lateral Movement.csv
domain,dismttldsreosfile.com,Google TI,Campaign 26.007 China-Nexus Threat Actor Deploys PoisonPlug and Web Shells Targeting SAP Infrastructure for Persistence and Lateral Movement.csv
domain,dronemaker.org,Google TI,Crazy Ransomware Gang Abuses Employee Monitoring Tool in Attacks.csv
domain,gettranslate.ir,Google TI,Shadow DNS Network Protection Against Covert Attacks.csv
domain,jackpotshop.life,Google TI,Shadow DNS Network Protection Against Covert Attacks.csv
domain,microuptime.com,Google TI,Crazy Ransomware Gang Abuses Employee Monitoring Tool in Attacks.csv
domain,network.adsfsa.com,Google TI,Campaign 26.007 China-Nexus Threat Actor Deploys PoisonPlug and Web Shells Targeting SAP Infrastructure for Persistence and Lateral Movement.csv
domain,npnetworkstar.com,Google TI,Campaign 26.007 China-Nexus Threat Actor Deploys PoisonPlug and Web Shells Targeting SAP Infrastructure for Persistence and Lateral Movement.csv
domain,raxelpak.com,Google TI,Claude LLM artifacts abused to push Mac infostealers in ClickFix attack.csv
domain,telesupportgroup.com,Google TI,Crazy Ransomware Gang Abuses Employee Monitoring Tool in Attacks.csv
domain,update.networkspace.it.com,Google TI,Campaign 26.007 China-Nexus Threat Actor Deploys PoisonPlug and Web Shells Targeting SAP Infrastructure for Persistence and Lateral Movement.csv
domain,updates.npnetworkstar.com,Google TI,Campaign 26.007 China-Nexus Threat Actor Deploys PoisonPlug and Web Shells Targeting SAP Infrastructure for Persistence and Lateral Movement.csv
hash_md5,01392667f368b7b4e620f179b8ae24db,Threatview,Threatview
hash_md5,01f9bd71c8e5ce9c686f942543de4cdf,Threatview,Threatview
hash_md5,08b7c181fa4f234e3b3ad8a0e36c613b,Threatview,Threatview
hash_md5,08fa819af628112f2d2091cc953b2ebb,Google TI,Cisco Talos Discloses China-Nexus DKnife Framework Targeting Edge Devices.csv
hash_md5,0bb086900dab1430a487431ebd047a92,Threatview,Threatview
hash_md5,0c1123bdb80019bf4ba7e68827562751,Google TI,Cisco Talos Discloses China-Nexus DKnife Framework Targeting Edge Devices.csv
