"type","value","source","articlename"
"domain","7zip.com","Google TI","Week in review Exploited newly patched BeyondTrust RCE, United Airlines CISO on building resilience - Help Net Security.csv"
"domain","dkp.okuselatankab.go.id","Google TI","Hacked! Record 2026-02-14.csv"
"domain","dkukmpp.okuselatankab.go.id","Google TI","Hacked! Record 2026-02-14.csv"
"domain","dlh.okuselatankab.go.id","Google TI","Hacked! Record 2026-02-14.csv"
"domain","dp2kbp3a.okuselatankab.go.id","Google TI","Hacked! Record 2026-02-14.csv"
"domain","dpmpd.okuselatankab.go.id","Google TI","Hacked! Record 2026-02-14.csv"
"domain","dpmptsp.okuselatankab.go.id","Google TI","Hacked! Record 2026-02-14.csv"
"domain","dprd.okuselatankab.go.id","Google TI","Hacked! Record 2026-02-14.csv"
"domain","gacwmwq.edu.pk","Google TI","Hacked! Record 2026-02-14.csv"
"domain","jurnal.smansacawas.sch.id","Google TI","Hacked! Record 2026-02-14.csv"
"domain","karangtaruna.okuselatankab.go.id","Google TI","Hacked! Record 2026-02-14.csv"
"domain","kec-bprrt.okuselatankab.go.id","Google TI","Hacked! Record 2026-02-14.csv"
"domain","kec-buanapemaca.okuselatankab.go.id","Google TI","Hacked! Record 2026-02-14.csv"
"domain","kec-buayrawan.okuselatankab.go.id","Google TI","Hacked! Record 2026-02-14.csv"
"domain","kec-buayrunjung.okuselatankab.go.id","Google TI","Hacked! Record 2026-02-14.csv"
"domain","kec-buaysandangaji.okuselatankab.go.id","Google TI","Hacked! Record 2026-02-14.csv"
"domain","kec-kisamilir.okuselatankab.go.id","Google TI","Hacked! Record 2026-02-14.csv"
"domain","kec-kisamtinggi.okuselatankab.go.id","Google TI","Hacked! Record 2026-02-14.csv"
"domain","kec-mekakauilir.okuselatankab.go.id","Google TI","Hacked! Record 2026-02-14.csv"
"domain","kelulusan.smkn2lingsar.sch.id","Google TI","Hacked! Record 2026-02-14.csv"
"domain","lulus.smansaseba.sch.id","Google TI","Hacked! Record 2026-02-14.csv"
"domain","lulus.smpn4kotasolok.sch.id","Google TI","Hacked! Record 2026-02-14.csv"
"domain","ns1.fbi.seized.gov","Google TI","RAMP Seized FBI Neutralizes Russian Ransomware Forum.csv"
"domain","okuselatankab.go.id","Google TI","Hacked! Record 2026-02-14.csv"
"domain","pump.fun","Google TI","Cybercrime 11 Cases and Sanctions as of Feb 6, 2026.csv"
"domain","skl1.mtsrandry.sch.id","Google TI","Hacked! Record 2026-02-14.csv"
"hash_md5","7834fc331bd663d6faacae6095e1f343","Threatview",""
"hash_md5","850974a2b87955a334d62df95ba3e5ab","Threatview",""
"hash_md5","8b26f383d37032f5c67bd8c323599f53","Threatview",""
"hash_md5","e1532e32a2e492614160e84ebf932344","Threatview",""
"hash_md5","f3fd7582ff8a4d27a648a25dda05fecf","Threatview",""
"ip","1.9.2.12","Threatview",""
"ip","161.97.127.73","Threatview",""
"ip","172.245.195.236","Threatview",""
"ip","45.32.165.239","Threatview",""
"ip","91.92.241.197","Threatview",""
"url","http://dpmpd.okuselatankab.go.id/","Google TI","Hacked! Record 2026-02-14.csv"
"url","http://dprd.okuselatankab.go.id/","Google TI","Hacked! Record 2026-02-14.csv"
"url","http://karangtaruna.okuselatankab.go.id/","Google TI","Hacked! Record 2026-02-14.csv"
"url","http://kec-bprrt.okuselatankab.go.id/","Google TI","Hacked! Record 2026-02-14.csv"
"url","http://kec-buanapemaca.okuselatankab.go.id/","Google TI","Hacked! Record 2026-02-14.csv"
"url","http://kec-buayrawan.okuselatankab.go.id/","Google TI","Hacked! Record 2026-02-14.csv"
"url","http://kec-buayrunjung.okuselatankab.go.id/","Google TI","Hacked! Record 2026-02-14.csv"
"url","http://kec-buaysandangaji.okuselatankab.go.id/","Google TI","Hacked! Record 2026-02-14.csv"
"url","http://kec-kisamilir.okuselatankab.go.id/","Google TI","Hacked! Record 2026-02-14.csv"
"url","http://kec-kisamtinggi.okuselatankab.go.id/","Google TI","Hacked! Record 2026-02-14.csv"
"url","http://kec-mekakauilir.okuselatankab.go.id/","Google TI","Hacked! Record 2026-02-14.csv"
