"type","value","source","articlename"
"domain","2-1-9.com","Google TI","Threat Actor of Unknown Motivations utilizes MSHTA and Obfuscated PowerShell Leading to Amatera Infostealer.csv"
"domain","6fec2cd5e023fd23.brambleufer.ru","Google TI","Threat Actor of Unknown Motivations utilizes MSHTA and Obfuscated PowerShell Leading to Amatera Infostealer.csv"
"domain","brambleufer.ru","Google TI","Threat Actor of Unknown Motivations utilizes MSHTA and Obfuscated PowerShell Leading to Amatera Infostealer.csv"
"domain","captioto.com","Google TI","Fake CAPTCHA Campaign Inside a Multi-Stage Stealer Assault.csv"
"domain","captoolsz.com","Google TI","Fake CAPTCHA Campaign Inside a Multi-Stage Stealer Assault.csv"
"domain","capztoolz.com","Google TI","Fake CAPTCHA Campaign Inside a Multi-Stage Stealer Assault.csv"
"domain","cptoptious.com","Google TI","Fake CAPTCHA Campaign Inside a Multi-Stage Stealer Assault.csv"
"domain","download.last-verison.com","Google TI","Threat Actor of Unknown Motivations utilizes MSHTA and Obfuscated PowerShell Leading to Amatera Infostealer.csv"
"domain","download-version.2-1-9.com","Google TI","Threat Actor of Unknown Motivations utilizes MSHTA and Obfuscated PowerShell Leading to Amatera Infostealer.csv"
"domain","goveanrs.org","Google TI","Fake CAPTCHA Campaign Inside a Multi-Stage Stealer Assault.csv"
"domain","last-verison.com","Google TI","Threat Actor of Unknown Motivations utilizes MSHTA and Obfuscated PowerShell Leading to Amatera Infostealer.csv"
"domain","last-version.com","Google TI","Threat Actor of Unknown Motivations utilizes MSHTA and Obfuscated PowerShell Leading to Amatera Infostealer.csv"
"domain","mushub.cfd","Google TI","Fake CAPTCHA Campaign Inside a Multi-Stage Stealer Assault.csv"
"domain","namzcp.org","Google TI","Fake CAPTCHA Campaign Inside a Multi-Stage Stealer Assault.csv"
"domain","newest-version.com","Google TI","Threat Actor of Unknown Motivations utilizes MSHTA and Obfuscated PowerShell Leading to Amatera Infostealer.csv"
"domain","searchservice.cfd","Google TI","Fake CAPTCHA Campaign Inside a Multi-Stage Stealer Assault.csv"
"domain","yago.fun","Google TI","Fake CAPTCHA Campaign Inside a Multi-Stage Stealer Assault.csv"
"domain","z3wqggtxft7id3ibr7srivv5gjof5fwg76slewnzwwakjuf3nlhukdid.onion","Google TI","Ransom! Mercedes-Benz of Arlington (MAR-2026).csv"
"hash_md5","05aff2b6242e9b2618ade8d34178d46a","Threatview","Threatview"
"hash_md5","0d0ef17e86a2bcfb97763c54731179a5","Threatview","Threatview"
"hash_md5","1bfed54ae970308843d0e55ee96eddd9","Threatview","Threatview"
"hash_md5","30b29b341a047ac893ad47db957568fd","Threatview","Threatview"
"hash_md5","32ecfbb0febed7d29d20d98cbfeb8513","Threatview","Threatview"
"hash_md5","3be1c888015bf4f8d145efcd0f103d57","Threatview","Threatview"
"hash_md5","3c553b52c0e537a88cc3f0be1a9447a7","Threatview","Threatview"
"hash_md5","3f4a531846d34399f7c61f0ca4f5bd03","Threatview","Threatview"
"hash_md5","4165b7e179b580c22f651e72dfcacdd2","Threatview","Threatview"
"hash_md5","54562bd71d5e0d025297b25d4cacb384","Threatview","Threatview"
"hash_md5","5a57584cfec7f8dc2a9e23bfebbfb622","Threatview","Threatview"
"hash_md5","63470692208251573974878282631313","Threatview","Threatview"
"hash_md5","7a7a99eee3855c2fe0fe0f5c20d0490c","Threatview","Threatview"
"hash_md5","8159845a1821df1e5067703af2fa0fb8","Threatview","Threatview"
"hash_md5","843fe7789abd59de779c9fc3e559bce2","Threatview","Threatview"
"hash_md5","961164cfefd0837372869a055693fe3b","Threatview","Threatview"
"hash_md5","ae3cc73feb8309699c65213f8c1fce28","Threatview","Threatview"
"hash_md5","ccc69a9fce51dbfd8c4847ed20387971","Threatview","Threatview"
"hash_sha256","00ae785201e85b2412251cfa7712334a043cac73105ae82a26546a98ad1f0b38","Google TI","Threat Actor of Unknown Motivations utilizes MSHTA and Obfuscated PowerShell Leading to Amatera Infostealer.csv"
"hash_sha256","12b5974782289e6aaadf2df8088499792d79ab91325d4abc57b0383b94d67439","Google TI","Threat Actor of Unknown Motivations utilizes MSHTA and Obfuscated PowerShell Leading to Amatera Infostealer.csv"
"hash_sha256","17fe715f3819baa851126d52af8b70c0016bf9288b0b0ebbc3715053973739e4","Threatview","Threatview"
"hash_sha256","26d8dc717f972f6afbe24a149942d9f9049a276682b0ce9c5141a23e3a69036c","Google TI","Threat Actor of Unknown Motivations utilizes MSHTA and Obfuscated PowerShell Leading to Amatera Infostealer.csv"
"hash_sha256","3223d48d091891d290989b01aa3c7b50fca2f013de02e8e1cc95c2400e4d453e","Google TI","Threat Actor of Unknown Motivations utilizes MSHTA and Obfuscated PowerShell Leading to Amatera Infostealer.csv"
"hash_sha256","3bf13460f531011b17e1618f0a64117c22e3f16d26aeb10dbb94ac5267206823","Google TI","Threat Actor of Unknown Motivations utilizes MSHTA and Obfuscated PowerShell Leading to Amatera Infostealer.csv"
"hash_sha256","60171e71774630b9f5c824e2a4ee4742aff1461e0c1910395430ba1592c469cd","Threatview","Threatview"
"hash_sha256","697297c9442af27d6f0257c8761660f2945e4303d8c840f3e5a6df6698d98e27","Threatview","Threatview"
"hash_sha256","7ceba48bb199a1cf4bd73556d93de34f5e6ddceb967d567b5f285355de9eff7b","Google TI","Threat Actor of Unknown Motivations utilizes MSHTA and Obfuscated PowerShell Leading to Amatera Infostealer.csv"
"hash_sha256","8c505524550e105be89ce6f8d70910cb06b2851bd96e4b1283b66f4dd82519ae","Google TI","Threat Actor of Unknown Motivations utilizes MSHTA and Obfuscated PowerShell Leading to Amatera Infostealer.csv"
"hash_sha256","929f17022a9c1f4a032c7a0eee26ca26ca9af13bd075916a9a17bf17aa74dc29","Google TI","Threat Actor of Unknown Motivations utilizes MSHTA and Obfuscated PowerShell Leading to Amatera Infostealer.csv"
"hash_sha256","c2893502d8198f611d6ad864d31232b85316f99bce7501cd1c72232ecbe0ae72","Google TI","Threat Actor of Unknown Motivations utilizes MSHTA and Obfuscated PowerShell Leading to Amatera Infostealer.csv"
"hash_sha256","cedcc65d50ac1e80066c53847c4d21b2f13956b210d02e47ff68f4d5a2732277","Google TI","Threat Actor of Unknown Motivations utilizes MSHTA and Obfuscated PowerShell Leading to Amatera Infostealer.csv"
"hash_sha256","d146f589f79142faf84cc3207292520d3805f234cc5d75fc4433646984f073a4","Google TI","Threat Actor of Unknown Motivations utilizes MSHTA and Obfuscated PowerShell Leading to Amatera Infostealer.csv"
"hash_sha256","f827fce910cb4cbb4be45648d55bcaf793cc01bf7d5d103a80616ba1ca4a5fce","Google TI","Threat Actor of Unknown Motivations utilizes MSHTA and Obfuscated PowerShell Leading to Amatera Infostealer.csv"
"hash_sha256","fdf84e67045e43b4fb4b0a65d60f348e4b8a10480f792256ac1111a070823d82","Google TI","Threat Actor of Unknown Motivations utilizes MSHTA and Obfuscated PowerShell Leading to Amatera Infostealer.csv"
"ip_address","104.21.21.30","Google TI","Fake CAPTCHA Campaign Inside a Multi-Stage Stealer Assault.csv"
"ip_address","104.21.24.144","Google TI","Fake CAPTCHA Campaign Inside a Multi-Stage Stealer Assault.csv"
"ip_address","104.21.3.200","Google TI","Threat Actor of Unknown Motivations utilizes MSHTA and Obfuscated PowerShell Leading to Amatera Infostealer.csv"
"ip_address","104.21.33.64","Google TI","Fake CAPTCHA Campaign Inside a Multi-Stage Stealer Assault.csv"
"ip_address","104.21.61.53","Google TI","Threat Actor of Unknown Motivations utilizes MSHTA and Obfuscated PowerShell Leading to Amatera Infostealer.csv"
"ip_address","104.21.95.74","Google TI","Threat Actor of Unknown Motivations utilizes MSHTA and Obfuscated PowerShell Leading to Amatera Infostealer.csv"
"ip_address","172.67.131.39","Google TI","Threat Actor of Unknown Motivations utilizes MSHTA and Obfuscated PowerShell Leading to Amatera Infostealer.csv"
"ip_address","172.67.157.67","Google TI","Threat Actor of Unknown Motivations utilizes MSHTA and Obfuscated PowerShell Leading to Amatera Infostealer.csv"
"ip_address","172.67.169.218","Google TI","Threat Actor of Unknown Motivations utilizes MSHTA and Obfuscated PowerShell Leading to Amatera Infostealer.csv"
"ip_address","172.67.173.243","Google TI","Threat Actor of Unknown Motivations utilizes MSHTA and Obfuscated PowerShell Leading to Amatera Infostealer.csv"
"ip_address","178.16.53.137","Google TI","Fake CAPTCHA Campaign Inside a Multi-Stage Stealer Assault.csv"
"ip_address","45.148.10.212","Google TI","Trivy Compromised a Second Time - Malicious v0.69.4 Release - StepSecurity.csv"
"ip_address","94.154.35.152","Google TI","Fake CAPTCHA Campaign Inside a Multi-Stage Stealer Assault.csv"
"url","https://155cd68f7524e830.brambleufer.ru/notebk-91267b64-989f-49b4-89b4-984e0154d4d5","Google TI","Threat Actor of Unknown Motivations utilizes MSHTA and Obfuscated PowerShell Leading to Amatera Infostealer.csv"
"url","https://5d68c0521e7bb9df.brambleufer.ru/notebk-91267b64-989f-49b4-89b4-984e0154d4d5","Google TI","Threat Actor of Unknown Motivations utilizes MSHTA and Obfuscated PowerShell Leading to Amatera Infostealer.csv"
"url","https://6983b8af579f5e31.brambleufer.ru/notebk-91267b64-989f-49b4-89b4-984e0154d4d5","Google TI","Threat Actor of Unknown Motivations utilizes MSHTA and Obfuscated PowerShell Leading to Amatera Infostealer.csv"
"url","https://b171f5404b8a31bd.brambleufer.ru/notebk-91267b64-989f-49b4-89b4-984e0154d4d5","Google TI","Threat Actor of Unknown Motivations utilizes MSHTA and Obfuscated PowerShell Leading to Amatera Infostealer.csv"
"url","https://b6e4e8b3542c2807.brambleufer.ru/notebk-91267b64-989f-49b4-89b4-984e0154d4d5","Google TI","Threat Actor of Unknown Motivations utilizes MSHTA and Obfuscated PowerShell Leading to Amatera Infostealer.csv"
"url","https://download.last-verison.com/notebooklm","Google TI","Threat Actor of Unknown Motivations utilizes MSHTA and Obfuscated PowerShell Leading to Amatera Infostealer.csv"
"url","https://download.last-version.com/claude","Google TI","Threat Actor of Unknown Motivations utilizes MSHTA and Obfuscated PowerShell Leading to Amatera Infostealer.csv"
"url","https://download.newest-version.com/notebooklm","Google TI","Threat Actor of Unknown Motivations utilizes MSHTA and Obfuscated PowerShell Leading to Amatera Infostealer.csv"
"url","https://download-version.2-1-9.com/claude","Google TI","Threat Actor of Unknown Motivations utilizes MSHTA and Obfuscated PowerShell Leading to Amatera Infostealer.csv"
"url","https://download-version.2-1-9.com/notebooklm","Google TI","Threat Actor of Unknown Motivations utilizes MSHTA and Obfuscated PowerShell Leading to Amatera Infostealer.csv"
"url","https://goveanrs.org/jsrepo","Google TI","Fake CAPTCHA Campaign Inside a Multi-Stage Stealer Assault.csv"
