type,value,source,articlename
domain,2025irswebsiteislive.live,Google TI,Surge of tax refund scams detected ahead of IRS deadline What to watch for.csv
domain,callnrwise.com,Google TI,Examining the Blast Radius from the Axios npm Supply Chain Compromise.csv
domain,combo-m.com,Google TI,Actor of Unknown Motivations Uses LotL Tools and SSH Reverse Tunnels for Persistence and Execution.csv
domain,dsfeuyyd.top,Google TI,Financial Gain Actor Leverages ClickFix and PowerShell Scripts to Deploy NETSUPPORT.csv
domain,eastarkido.com,Google TI,Actor of Unknown Motivations Uses LotL Tools and SSH Reverse Tunnels for Persistence and Execution.csv
domain,fdm4c51an3.execute-api.us-east-1.amazonaws.com,Google TI,Actor of Unknown Motivations Uses LotL Tools and SSH Reverse Tunnels for Persistence and Execution.csv
domain,otrypity.com,Google TI,Financial Gain Actor Leverages ClickFix and PowerShell Scripts to Deploy NETSUPPORT.csv
domain,poqwserty.com,Google TI,Financial Gain Actor Leverages ClickFix and PowerShell Scripts to Deploy NETSUPPORT.csv
domain,redsiout.top,Google TI,Financial Gain Actor Leverages ClickFix and PowerShell Scripts to Deploy NETSUPPORT.csv
domain,rootuniversal.com,Google TI,Financially Motivated Threat Actor Distributing DIRTYBULK via Infected USB Devices.csv
domain,rootunv.com,Google TI,Financially Motivated Threat Actor Distributing DIRTYBULK via Infected USB Devices.csv
domain,rootunvdwl.com,Google TI,Financially Motivated Threat Actor Distributing DIRTYBULK via Infected USB Devices.csv
domain,rundwl.com,Google TI,Financially Motivated Threat Actor Distributing DIRTYBULK via Infected USB Devices.csv
domain,sfrclak.com,Google TI,Examining the Blast Radius from the Axios npm Supply Chain Compromise.csv
domain,ski-snowboardvancouver.ca,Google TI,Financial Gain Actor Leverages ClickFix and PowerShell Scripts to Deploy NETSUPPORT.csv
domain,tredeport.top,Google TI,Financial Gain Actor Leverages ClickFix and PowerShell Scripts to Deploy NETSUPPORT.csv
domain,treidoveir.top,Google TI,Financial Gain Actor Leverages ClickFix and PowerShell Scripts to Deploy NETSUPPORT.csv
domain,unvbotx.com,Google TI,Financially Motivated Threat Actor Distributing DIRTYBULK via Infected USB Devices.csv
domain,unvdwl.com,Google TI,Financially Motivated Threat Actor Distributing DIRTYBULK via Infected USB Devices.csv
domain,unvdwx.com,Google TI,Financially Motivated Threat Actor Distributing DIRTYBULK via Infected USB Devices.csv
hash_md5,04e3073b3cd5c5bfcde6f575ecf6e8c1,Google TI,Examining the Blast Radius from the Axios npm Supply Chain Compromise.csv
hash_md5,0ac44ad9cfbc58ed76415f7bc79239f9,Threatview,Threatview
hash_md5,0cb3adcb3dd060978047b4d1af66aba6,Google TI,Financially Motivated Threat Actor Distributing DIRTYBULK via Infected USB Devices.csv
hash_md5,12bcd144921c63a2715c8b6db7c7ab07,Google TI,Financially Motivated Threat Actor Distributing DIRTYBULK via Infected USB Devices.csv
hash_md5,1ab2548e89e865f83bce578b8aff8512,Google TI,Financially Motivated Threat Actor Distributing DIRTYBULK via Infected USB Devices.csv
hash_md5,20b08c2896a4eb3a4669c9684c14dd30,Google TI,Financially Motivated Threat Actor Distributing DIRTYBULK via Infected USB Devices.csv
hash_md5,22772393aa302e190f822a9049882d98,Google TI,Financially Motivated Threat Actor Distributing DIRTYBULK via Infected USB Devices.csv
