type,value,source,articlename
domain,cloudservbr.com,Google TI,Vibe Hacking Two AI-Augmented Campaigns Target Government and Financial Sectors in Latin America.csv
domain,infra-telemetry.com,Google TI,Vibe Hacking Two AI-Augmented Campaigns Target Government and Financial Sectors in Latin America.csv
domain,sentinelonepro.com,Google TI,FamousSparrow APT Targets Azerbaijani Energy Sector via Microsoft Exchange Exploitation.csv
domain,virusblocker.it.com,Google TI,FamousSparrow APT Targets Azerbaijani Energy Sector via Microsoft Exchange Exploitation.csv
hash_md5,183f2e2810dcffafce158a3483766ffa,Threatview,Threatview
hash_md5,706ecb1237915ae7946524d1ed4dbca0,Threatview,Threatview
hash_md5,b0d1c3dec824760a58c2a138fe2f27c9,Threatview,Threatview
hash_sha256,01593287286f40bf5305f2d54962fdbcb8a4b6c4a5c0912b6f2e5826bea9c741,Threatview,Threatview
hash_sha256,15407e60bc4a797fff022a8a21cb1274dda4fb3d004db15814f5f268d9bbfd66,Threatview,Threatview
hash_sha256,1ed3b69515186cea6441b60526112d55facb7606543116b4061e3a862d29b572,Threatview,Threatview
hash_sha256,28355d24778995371c72eb59629f622c0e4c1d023148f0ab8a3dbe7a0582ca0c,Threatview,Threatview
hash_sha256,3b72ef13049bea56198134de13ee54bfb3b327a19dcec20e2d70719bd4379e63,Google TI,Vibe Hacking Two AI-Augmented Campaigns Target Government and Financial Sectors in Latin America.csv
hash_sha256,485ddc0020a483f5e97a1ea91f6d915f7cfb909bf9662fbb4655eafc93ca39af,Threatview,Threatview
hash_sha256,65d0b67b5dbea62cda2adeda51d058d39d489091744fc6a66d2ea9c6878e4e21,Threatview,Threatview
hash_sha256,669df5863f0d47a377b0f772334c935fb523cabf37a7547f6a717dcb41ccf067,Google TI,Vibe Hacking Two AI-Augmented Campaigns Target Government and Financial Sectors in Latin America.csv
hash_sha256,804295f2e893cab51fdaf1ec0d9bcb4f932a0db263eb31125c0856e053baec66,Threatview,Threatview
hash_sha256,97f7a1a84d3d1aca5048f433d5689e3af1289597acae7e432fac2fc5f2c64341,Google TI,Vibe Hacking Two AI-Augmented Campaigns Target Government and Financial Sectors in Latin America.csv
hash_sha256,ae560539b871e52dd1be3327f60c8a5fd5b38d0db1c267bc6b89d9a6baaffe03,Threatview,Threatview
ip_address,155.133.27.198,Google TI,Vibe Hacking Two AI-Augmented Campaigns Target Government and Financial Sectors in Latin America.csv
ip_address,159.65.202.204,Google TI,Vibe Hacking Two AI-Augmented Campaigns Target Government and Financial Sectors in Latin America.csv
ip_address,165.22.184.26,Google TI,Vibe Hacking Two AI-Augmented Campaigns Target Government and Financial Sectors in Latin America.csv
ip_address,167.148.195.53,Google TI,Vibe Hacking Two AI-Augmented Campaigns Target Government and Financial Sectors in Latin America.csv
ip_address,167.172.38.123,Google TI,Vibe Hacking Two AI-Augmented Campaigns Target Government and Financial Sectors in Latin America.csv
ip_address,209.99.185.221,Google TI,Vibe Hacking Two AI-Augmented Campaigns Target Government and Financial Sectors in Latin America.csv
ip_address,209.99.185.223,Google TI,Vibe Hacking Two AI-Augmented Campaigns Target Government and Financial Sectors in Latin America.csv
ip_address,62.171.185.97,Google TI,Vibe Hacking Two AI-Augmented Campaigns Target Government and Financial Sectors in Latin America.csv
url,https://sentinelonepro.com,Google TI,FamousSparrow APT Targets Azerbaijani Energy Sector via Microsoft Exchange Exploitation.csv
url,https://virusblocker.it.com,Google TI,FamousSparrow APT Targets Azerbaijani Energy Sector via Microsoft Exchange Exploitation.csv
