type,value,source,articlename
domain,xsza.net,Google TI,Operation RoundPress Rolls on with More Half-Click Webmail Zero-Days from TA458 Proofpoint US.csv
hash_md5,000732e37ed2431c677cca56aafbd53f,Threatview,Threatview
hash_md5,0248c26c25bb5804f0c6d83238b6172c,Threatview,Threatview
hash_md5,139912756c7b0b4f9fbf7dab562f1852,Threatview,Threatview
hash_md5,162c8c9dd215a42a59aa83df9d3064d7,Threatview,Threatview
hash_md5,54902a839f1e0339e0f014d6f0b1dd85,Threatview,Threatview
hash_md5,5bdb128072c02f52153eaeea6899a5b1,Threatview,Threatview
hash_md5,98a81af2a597b62866610d32d03421ff,Threatview,Threatview
hash_md5,98c185174e9f659b91b9f82250546ab3,Threatview,Threatview
hash_md5,9dfabf218925dc71598897415dcbcce8,Threatview,Threatview
hash_md5,a58e4a8366ab4084d8d5e74e11b9a6f1,Threatview,Threatview
hash_md5,ae610fc43f44509cf65750e870ecc915,Threatview,Threatview
hash_md5,c9bb17ae1dc2f92131473c8b61fe0a79,Google TI,Operation RoundPress Rolls on with More Half-Click Webmail Zero-Days from TA458 Proofpoint US.csv
hash_md5,cc9d5dea66b0416b9dea589e3bdd8f2e,Threatview,Threatview
hash_md5,dec873fd811d43f9860fcd33ab637ab4,Threatview,Threatview
hash_sha1,6ef845938f064de39f4bf6450119a0cdbb61378c,Google TI,Operation RoundPress Rolls on with More Half-Click Webmail Zero-Days from TA458 Proofpoint US.csv
hash_sha256,0583da8c5fd0fffa254d4864c4f1df12985a5fd59bf99d475875780fc7deadbd,Threatview,Threatview
hash_sha256,061b6d1c2a31a9ffc986f426ba4532a4476e9170fb4cb9f167dff7c7c7058ce6,Threatview,Threatview
hash_sha256,0c81d6dbad069b31724b40b793fe42e139f2794a542830ae13dacff897b1617f,Threatview,Threatview
hash_sha256,0d569ad60a23f4df4b9b6318cc170ec05866afe5b12743e77d75c14a0cdd1a07,Threatview,Threatview
hash_sha256,104447278779517e2b397a18d501685ae61a9da84abe1c180ff9bb67a5a0f0fc,Threatview,Threatview
hash_sha256,108ef7e628d7a20bd6241a5b57149e27a6061f467123eb64061975559f8f73dc,Threatview,Threatview
hash_sha256,1909a7bed21f14dd3ff1ce904d3caab1b513408efe73a51d4e8017aa19f8c2e2,Threatview,Threatview
hash_sha256,1cd18f75ba21c3711d113b3d5d5bc735e2a319e7511b44c5df9fa6bb3bdb7986,Threatview,Threatview
hash_sha256,1df83d6dfdef90cea886bd033806feba236f42382cd3cf003567df91f43463ce,Threatview,Threatview
hash_sha256,25787f5541566d193f35b220b4953a6057aabc05a54bf9b7cf903fb8fdf26912,Threatview,Threatview
hash_sha256,2695cedab056adaa9df1e30ad572d3944bdc09e7972ed757d1039121637b619c,Threatview,Threatview
hash_sha256,31c97b6e93112cae7bfce17d5979ccd513111b74165fc6ef471a9f8c821ae879,Threatview,Threatview
hash_sha256,32a962439ec0fb5559e494fe1ea6be039815d3c4c1cceb95b16dc123e5abde61,Threatview,Threatview
hash_sha256,3598ce0c91a71cf6634f476d89ce173bfc8ccfe050cdc7cc8760490797b80c68,Threatview,Threatview
hash_sha256,38cec7299bcbcc334633c87de5ed0d8355df8c73fadd26a8b5ca3862c2ea4357,Threatview,Threatview
hash_sha256,3cbc4be157777afb8f4a38673a1910fe7a615135e4819069818e590f4b82f717,Threatview,Threatview
hash_sha256,409f79a9ee68c282a7d2b5738d63a310dd33345cb43fb23f11f92f54308a8b1e,Threatview,Threatview
hash_sha256,40bd243e3246d22a519995ed54036e3f53279a99be514bae836ecf971f3fc856,Threatview,Threatview
hash_sha256,453b69743065d01f530ee95b04da99382a3290087457f3a4d594d89be9a2976a,Threatview,Threatview
hash_sha256,4750c67455431d01ac505041e0e439c73afe57bd955ac323a51c96439fb4a748,Threatview,Threatview
hash_sha256,479a988674554f518eed16b3ffa1ef23dc6189aa6950fc8725ef1343596c3652,Threatview,Threatview
hash_sha256,4814838500d5650f8ef755e26ca09cc09808209519a18b8758aaa2a3864c9601,Threatview,Threatview
hash_sha256,48313342aac1bcb0a7a6dbae54dc59a76c796da083d8d5299719876470c1668b,Threatview,Threatview
hash_sha256,4a26cd1c6d66dcc1166369a173aa4c15136f4a480e775588b03d0555e0cf4c75,Threatview,Threatview
hash_sha256,4de8fc175826d9f78fce9f9f2b71a63fe832fc7507e0394125c823b0909fa54a,Threatview,Threatview
hash_sha256,565461bae08cfa9eaa861faeadc7d146afa42e9a1eea65e8fc56cd233c5819a0,Threatview,Threatview
hash_sha256,5fff61dff1fe18f59ebabe729c5ff9c42de64911248fb424815755fc7e76d5a1,Threatview,Threatview
hash_sha256,625e4c166c7a1d5a1becf56b27d4f76a2f95935cbd8d556c30a493263d10dbf8,Google TI,Operation RoundPress Rolls on with More Half-Click Webmail Zero-Days from TA458 Proofpoint US.csv
hash_sha256,62faa8c54f0d300196dc5d4e8e4e5c7bc248c2ec6d5aa667aa76ebd53cfd51da,Threatview,Threatview
hash_sha256,6805a1cb9b26b629f94aa3cf062e78eb4a5d259f459c0d8ca5a43cc08b16154b,Threatview,Threatview
hash_sha256,7531643f797206b48f058d06d395010b6cdfc7744b49de671d76bbac4ad94ae1,Threatview,Threatview
hash_sha256,75f1ae88690d298f139caf7471058b3b4d05b9d22c7c364b8af5ce9110918346,Threatview,Threatview
hash_sha256,769b6487135cd087ce456e8132d77621776296235a1e017485e89c104243f105,Threatview,Threatview
hash_sha256,76a360593bf7b068649dcbd8056952a569ebf3a9f7bae480015a7fffc306c5dd,Threatview,Threatview
hash_sha256,7bd8061b8e39ace106e83256c8f01455701014029366ff9030fd65ccb3eb2b75,Threatview,Threatview
hash_sha256,7ed41eb2c9cee796bf50e30105f1daaf8126f7be25d940412b2a08b8e6765ec1,Threatview,Threatview
hash_sha256,7f53b7a21ba1418f56afac2f5f9db18bcca48d0c9ab7c3bee15a01db57d5fe5c,Threatview,Threatview
hash_sha256,821da79d727351dd67ce5df7950e9a3de6647a3cf474bb3a093f67507fed92a6,Threatview,Threatview
hash_sha256,8a50ed3d9d9e90c971100e211b7f5c8c7128ccbf9164cf3bd1beed8a49da6ab6,Threatview,Threatview
hash_sha256,8f82ffeb8a0fbf1f0bddb154a0bf85b730564c3f067c62d382802ccc5662efff,Threatview,Threatview
hash_sha256,911110a32ba7e8f2143986aa965b6cb5ce31a1ce79716b77a6b5e256e1d04193,Threatview,Threatview
hash_sha256,91a331a2dc17c4146e630a88ffd802128cccc0c374522b4bdc82741b8cbff080,Threatview,Threatview
hash_sha256,95626cc9665d3acd3aa2991aee8e8028f8126c8fb3dce8a5079b6dd51d0d3b70,Threatview,Threatview
hash_sha256,962bd2fdde0752a0ba60650f3808a99a3dfe1068b0a8c7a50360134ea8bb1f92,Threatview,Threatview
hash_sha256,965894996e2cb9be1e0ccc509e079e7eca072cbc4e68945beb00ff5979dda19c,Threatview,Threatview
hash_sha256,9ab2f85ab539cea0f868c0b2a5219c3a8ccfef5365d74cc2cd455cb06d243f65,Threatview,Threatview
hash_sha256,9c285fe3a491ee6a6f872ae71d47dfe29e44a40b9e7fcba85a39a2368584333a,Threatview,Threatview
hash_sha256,9f57ce68fb4ad9416c78bb2c90f4efae1a6fadf2826caa07caa9e06491181b55,Threatview,Threatview
hash_sha256,a25ffcdd9e9409efe9df85f03a7218c644ad5fa4839c5f19ec7fbca069a98ffb,Threatview,Threatview
hash_sha256,aff385e48471ae461ee8e0b27e31bd41c90c99b4d2c9100eaacfdeea234da1a6,Threatview,Threatview
hash_sha256,be2503e89f34fa3465632f691c073c3f5ba835dd3e59fc3cb0ae7ba33a485766,Threatview,Threatview
hash_sha256,dfba893f29cc0599b5261738d3292a624d853a0f1bb61b1116604716af4f4612,Threatview,Threatview
hash_sha256,e02012ca164fa43c575d86a3e0855328a785b020ef5a268548b1cbb3224f7e86,Threatview,Threatview
hash_sha256,e097f3b445b63b07afacde8d6a67f0be654dd51e228a3610fb0710a1f7e29a69,Threatview,Threatview
hash_sha256,e2f78e3cd83f5c1869cd1f28db9051b786955c01243a64c570356d7e6d70a2f5,Threatview,Threatview
hash_sha256,e388e7ce2449ba4100483186d9242e96f0cf74196d2519d37b581df682c57de6,Threatview,Threatview
hash_sha256,f99a50bd0884d356bd1bf9f2642f813a9e7c9035c8db31de268cb8d2cd4fa0a4,Threatview,Threatview
hash_sha256,fa87f6cf9e97dfbb3c87ed228ef03eea52bf561b3f8ae0bbf432427e865ab312,Threatview,Threatview
hash_sha256,fee6353b6b1d8a6efa09b78cc6a32a2cd65e6a90c171e406a162af3c09c5366f,Threatview,Threatview
