Indicator Value,Indicator Type,IC Score,Associated Actors,Associated Malware,Associated Tools,Associated Campaigns,Exclusive,First Seen,Last Seen
ggl.whoscaller.net,FQDN,77,,,,,FALSE,11-Apr-25,11-Apr-25
ee6e0fc26e94e5b2e52d57ac035b36ff,MD5,50,,,,,FALSE,11-Apr-25,11-Apr-25
cgf.goldplusapp.net,FQDN,77,,,,,FALSE,24-Sep-23,11-Apr-25
adoptewer.com,FQDN,81,,,,,FALSE,11-Apr-25,11-Apr-25
46923e10db90bde295960851245f199a,MD5,50,,,,,FALSE,11-Apr-25,11-Apr-25
wyo.titeperformance.com,FQDN,50,,,,,FALSE,11-Apr-25,11-Apr-25
www.weetogether.top,FQDN,85,,,,,FALSE,11-Apr-25,11-Apr-25
www.onlinewxapp.net,FQDN,84,,,,,FALSE,11-Apr-25,11-Apr-25
www.onlineweixin.net,FQDN,84,,,,,FALSE,11-Apr-25,11-Apr-25
www.online-wechat.com,FQDN,84,,,,,FALSE,11-Apr-25,11-Apr-25
www.lodepot.com,FQDN,85,,,,,FALSE,11-Apr-25,11-Apr-25
widelygram.org,FQDN,50,,,,,FALSE,11-Apr-25,11-Apr-25
who.goldplusapp.net,FQDN,67,,,,,FALSE,11-Apr-25,11-Apr-25
vpf.titeperformance.com,FQDN,50,,,,,FALSE,11-Apr-25,11-Apr-25
tryhrwserf.com,FQDN,90,,,,,FALSE,11-Apr-25,11-Apr-25
thetubeplus.com,FQDN,92,,,,,FALSE,11-Apr-25,11-Apr-25
telegramtor.com,FQDN,50,,,,,FALSE,11-Apr-25,11-Apr-25
system.onlinegamersgroup.com,FQDN,50,,,,,FALSE,11-Apr-25,11-Apr-25
pmumail.com,FQDN,62,,,,,FALSE,11-Apr-25,11-Apr-25
oha.alpinemap.net,FQDN,72,,,,,FALSE,11-Apr-25,11-Apr-25
ntc-ftth.net,FQDN,62,,,,,FALSE,11-Apr-25,11-Apr-25
mail.pmumail.com,FQDN,72,,,,,FALSE,16-Sep-23,11-Apr-25
m.leak-news.com,FQDN,92,,,,,FALSE,11-Apr-25,11-Apr-25
jkiohreh.com,FQDN,88,,,,,FALSE,22-Jan-23,11-Apr-25
img.rewrwer.com,FQDN,50,,,,,FALSE,11-Apr-25,11-Apr-25
idc-ctbto.org,FQDN,50,,,,,FALSE,11-Apr-25,11-Apr-25
https://www.youtube.com/@josephjoey3499,URL,3,,,,,FALSE,11-Apr-25,11-Apr-25
https://www.youtube.com/@bradshannon334,URL,3,,,,,FALSE,11-Apr-25,11-Apr-25
groupgram.org,FQDN,50,,,,,FALSE,11-Apr-25,11-Apr-25
fvbyavgyea.com,FQDN,90,,,,,FALSE,22-Jan-23,11-Apr-25
fgt.lookincategory.com,FQDN,50,,,,,FALSE,11-Apr-25,11-Apr-25
edr.lookincategory.com,FQDN,50,,,,,FALSE,11-Apr-25,11-Apr-25
dvr.collinformations.com,FQDN,50,,,,,FALSE,11-Apr-25,11-Apr-25
download.apkbazar.biz,FQDN,50,,,,,FALSE,11-Apr-25,11-Apr-25
doa.rondwsign.com,FQDN,50,,,,,FALSE,11-Apr-25,11-Apr-25
djibdiplomatie.com,FQDN,50,,,,,FALSE,11-Apr-25,11-Apr-25
cde.mpoxcases.com,FQDN,50,,,,,FALSE,11-Apr-25,11-Apr-25
big.collinformations.com,FQDN,50,,,,,FALSE,11-Apr-25,11-Apr-25
bae.cisconline.net,FQDN,50,APT14,,,,TRUE,12-Sep-11,11-Apr-25
axisupdate.com,FQDN,74,,,,,FALSE,11-Apr-25,11-Apr-25
aua.rondwsign.com,FQDN,50,,,,,FALSE,11-Apr-25,11-Apr-25
aru.alpinemap.net,FQDN,50,,,,,FALSE,11-Apr-25,11-Apr-25
apps.androidupdated.net,FQDN,50,,,,,FALSE,11-Apr-25,11-Apr-25
ansec.com,FQDN,92,,,,,FALSE,11-Apr-25,11-Apr-25
aar.tokenmajorp.com,FQDN,50,,,,,FALSE,11-Apr-25,11-Apr-25
aar.alpinemap.net,FQDN,50,,,,,FALSE,11-Apr-25,11-Apr-25
uyapkfinder.com,FQDN,50,,,,,FALSE,11-Apr-25,11-Apr-25
microtik.net,FQDN,62,,,,,FALSE,11-Apr-25,11-Apr-25
fre.lookincategory.com,FQDN,50,,,,,FALSE,11-Apr-25,11-Apr-25
