type,value,source,articlename
domain,142.171.193.17.sslip.io,Mandiant,BRICKSTORM.csv
domain,1-hqu3670.slack.com,Mandiant,UNC5221.csv
domain,207.246.90.183.sslip.io,Mandiant,BRICKSTORM.csv
domain,acc.symantke.com,Mandiant,UNC5221.csv
domain,account.symantke.com,Mandiant,UNC5221.csv
domain,ancient.datadom.workers.dev,Mandiant,BRICKSTORM.csv
domain,api.datadom.workers.dev,Mandiant,BRICKSTORM.csv
domain,api.symantke.com,Mandiant,UNC5221.csv
domain,apm.vpce.gdw55e.symantke.com,Mandiant,UNC5221.csv
domain,b1e282781ad9.com,Mandiant,UNC5221.csv
domain,cdn.symantke.com,Mandiant,UNC5221.csv
domain,cloudstrike-107388d0ee0b.herokuapp.com,Mandiant,UNC5221.csv
domain,csp.symantke.com,Mandiant,UNC5221.csv
domain,entraide-internationale.fr,Mandiant,UNC5221.csv
domain,events.api.symantke.com,Mandiant,UNC5221.csv
domain,g.sst.symantke.com,Mandiant,UNC5221.csv
domain,gdw55e.symantke.com,Mandiant,UNC5221.csv
domain,gui.symantke.com,Mandiant,UNC5221.csv
domain,live.symantke.com,Mandiant,UNC5221.csv
domain,login.symantke.com,Mandiant,UNC5221.csv
domain,microsoft.symantke.com,Mandiant,UNC5221.csv
domain,ok.symantke.com,Mandiant,UNC5221.csv
domain,okta.symantke.com,Mandiant,UNC5221.csv
domain,opra1.oprawh.workers.dev,Mandiant,BRICKSTORM.csv
domain,outlook.symantke.com,Mandiant,UNC5221.csv
domain,packages.proofpointtrap.com,Mandiant,BRICKSTORM.csv
domain,packages.vmfoundations.com,Mandiant,BRICKSTORM.csv
domain,portal.symantke.com,Mandiant,UNC5221.csv
domain,reporting.symantke.com,Mandiant,UNC5221.csv
domain,scalerprotonice.com,Mandiant,BRICKSTORM.csv
domain,service.systemsvcs.com,Mandiant,BRICKSTORM.csv
domain,ssl.symantke.com,Mandiant,UNC5221.csv
domain,sso.symantke.com,Mandiant,UNC5221.csv
domain,sst.symantke.com,Mandiant,UNC5221.csv
domain,storage.symantke.com,Mandiant,UNC5221.csv
domain,symantke.com,Mandiant,UNC5221.csv
domain,vpce.gdw55e.symantke.com,Mandiant,UNC5221.csv
domain,www.symantke.com,Mandiant,UNC5221.csv
