"type","value","source"
"url","smtp://mail.holpak.pk","Mandiant"
"url","smtp://smtp.yandex.ru:587","Mandiant"
"hash_md5","61357b5983d36f8712127fecc6c5bb53","Mandiant"
"hash_md5","2ae37b2bbb9ad1a54d8a77b7d3c546a3","Mandiant"
"url","tcp://smfcs3.ydns.eu:4050","Mandiant"
"url","tcp://smfcs1.ydns.eu:4050","Mandiant"
"url","tcp://kingsbkup1.ydns.eu:4050","Mandiant"
"url","tcp://bin14.ydns.eu:4050","Mandiant"
"url","tcp://bin12.ydns.eu:4050","Mandiant"
"url","smtp://mail.jhxkgroup.online:587","Mandiant"
"domain","mail.jhxkgroup.online","Mandiant"
"hash_md5","e11f35e13870974cf2a25b411cfdef7a","Mandiant"
"hash_md5","c9042f13eb9ac12ed4ff443f4b781f9d","Mandiant"
"hash_md5","0ba2eab36013c02d0614cfba32ae8659","Mandiant"
"hash_md5","386bb484a84991f45658f76cbb8de897","Mandiant"
"hash_md5","4a3e65c57d4355f53b205c3b2e079b1c","Mandiant"
"hash_md5","4d62536b1609fe7d00b6426f9cec96e5","Mandiant"
"hash_md5","773e4309e1e5140bae8cf1c3eb23f223","Mandiant"
"hash_md5","ab80995d69cb5bf47eda51a98322ff63","Mandiant"
"hash_md5","def8089469e487c53731ae99f90d757e","Mandiant"
"hash_md5","c9d21b7a59c7d5057d2501cb9f3ddfcd","Mandiant"
"hash_md5","488b83b8e10ebe068c219bec78f06d1c","Mandiant"
"url","https://api.telegram.org/bot/7757746098:AAFw7mTEqfCSeDOO3fwGgVRjN-ciGcuk2TE/","Mandiant"
"hash_md5","fbeaaf2741abc4613a292b9dd7a4bf34","Mandiant"
"hash_md5","9dfd0ae60b8825ed9ed4e9575fdd1e94","Mandiant"
"hash_md5","744c72d1fb7ada53fa1f4b7ff7c99fd2","Mandiant"
