"type","value","source"
"domain","akerusa.com","Microsoft"
"domain","grrlspace.com","Microsoft"
"domain","jjpalace.com","Microsoft"
"domain","kriegerspub.com","Microsoft"
"domain","mrdltd.com","Microsoft"
"domain","mtowner.com","Microsoft"
"domain","nettixx.com","Microsoft"
"domain","talklc.com","Microsoft"
"domain","vickmarine.com","Microsoft"
"ip","185.193.89.95","Microsoft"
"ip","91.219.23.193","Microsoft"
"hash_md5","dd7fa15e22c739c63a092bee501ddc33","Microsoft"
"url","https://mrdltd.com/5q2g.js","Microsoft"
"url","https://nettixx.com/4w2e.js","Microsoft"
"url","https://vickmarine.com/3w1s.js","Microsoft"
"url","https://vickmarine.com/js.php","Microsoft"
"url","https://vickmarine.com/stat.php","Microsoft"
"hash_md5","2d47ef0089010d9b699cd1bbbc66f10a","Microsoft"
"url","https://www.rsdf.kr/wp-content/uploads/2024/01/index.php","Microsoft"
"url","https://thek-portal.com/eng/career/index.asp","Microsoft"
"url","https://kadsm.org/skin/board/basic/write_comment_skin.php","Microsoft"
"url","https://htns.com/eng/skin/member/basic/skin.php","Microsoft"
"url","https://builsf.com/inc/left.php","Microsoft"
"url","http://www.shcpump.com/admin/form/skin/formBasic/style.php","Microsoft"
"url","http://dream.bluit.gethompy.com/mobile/skin/board/gallery/index.skin.php","Microsoft"
"url","http://bluekostec.com/eng/community/write.asp","Microsoft"
"hash_md5","f1bcb4c5aa35220757d09fc5feea193b","Microsoft"
"domain","dream.bluit.gethompy.com","Microsoft"
"hash_md5","dc0e17879d66ea9409cdf679bfea388c","Microsoft"
"hash_sha256","0779090496343E6365FD3A273600213E8FEA9CF77D09D6FA551114FA5A3B23C5","Microsoft"
"hash_sha256","123EC130BEB175419B0E8C8B9C4D44A7F024F7C6E7E705718E2E07AB3DD083AD","Microsoft"
"hash_sha256","1B8D49C9481293784859223356AC9C50DBD1A8DB680D0F1D30D264DCCEB8C3E3","Microsoft"
"hash_sha256","1C17F14563F55BCCFB48F81882476B38887EE450126F6977F8550657CEB2E8EC","Microsoft"
"hash_sha256","6A79CED77846F964E877D404CB8A5C829CA6BAC0B28BD161AFD329685064C10E","Microsoft"
"hash_sha256","70835A8F7EA6C93942935A6F9FEF1AE4591C22E873E3B06000EF01437F2090C1","Microsoft"
"hash_sha256","A145F97523DB8F8F7C83733C217D5AF8F316FAB356B86C559DD9C33B042C38E5","Microsoft"
"hash_sha256","C6373D61B5C4F12E2D88CE6A326F655B86393ED206BA710F8E67730667B5FF4E","Microsoft"
"hash_sha256","D3CDB6765D1D043CB78DBE520F4C678DF37BEBA3B19B7F7E894F2A6FE29A821B","Microsoft"
"hash_sha256","F827228165291851E5FDC5D06219BD30877050C7C7A17672066984487B3F1200","Microsoft"
"domain","439068665-atari-embeds.googleusercontent.com","Microsoft"
"url","http://94.247.42.253/pilot.php","Microsoft"
"domain","absardeiracargo.com","Mandiant"
"domain","abstractalg.com","Mandiant"
"domain","abstractlg.com","Mandiant"
