"type","value","source"
"hash_sha1","02065BBDB3209E0522DB3225600B8E79F8A10293","public"
"hash_sha1","089439168D3C75B4DA94AB801F1C46AD6B9E1FDC","public"
"hash_sha1","0E282DC84D6CFD447FECE7D3ECC622523B143AA8","public"
"hash_sha1","207B7CF5DB59D70D4789CB91194C732BCD1CFB4B","public"
"hash_sha1","23C4049121A9649682B3B901EAAC0CC52C308756","public"
"hash_sha1","25A593B9517D6C325598EAB46833003C40F9491A","public"
"hash_sha1","2B9B740FB5FE0549810500476F567002683DF71D","public"
"hash_sha1","334A88E288AE18C6E3FD7FB2D1AD9548497D52CE","public"
"hash_sha1","36ECC371E0EF7AE46F25C137AA0498DFD4FF70B3","public"
"hash_sha1","3CAC6FF7CDDCB8F82409C79C85D976300FC60861","public"
"hash_sha1","492CBE143F795888D8E5006AC595F65F4565ED6E","public"
"hash_sha1","49CD96DF4C85CDD7461701340C0BB4D05A5049D8","public"
"hash_sha1","4AEEAE023766153A91B83D02B1B24DA20C0DD135","public"
"hash_sha1","4DC0EBFA52ADF9B9EB4FA8F0A359C21A14E183FB","public"
"hash_sha1","4DD22A08A5B103E1F2238AED7F7CE66C5A542533","public"
"hash_sha1","4FA2B2AB3E24EE9D130CFEDA63C7AE1CCBC393DC","public"
"hash_sha1","55EEAA904BC6518A2715CC77648E6C5187416A46","public"
"hash_sha1","81622512757F897206A84B29EE866FB933FA3D48","public"
"hash_sha1","9B7590C4313159810443EFCC6648837519B061D6","public"
"hash_sha1","9DC3D272652851428F5CC44F2FD9458BFF1D6A78","public"
"hash_sha1","A5C36B8022751CFEB4A88A21153847DF3870C7C0","public"
"hash_sha1","A9BBEA73504139CE91A0EC20FEF303C68A131CD4","public"
"hash_sha1","B0BBE83895647A1EFE6843D1C619059B00F72CF3","public"
"hash_sha1","BE52275B0C2086735DAC478DC4F09FD16031669A","public"
"hash_sha1","D102A34B3F0EFB57F1D9F04EFF26B256875A3AA1","public"
"hash_sha1","D25EAE2DE64BB604987DB27085D60F3DDF7CA473","public"
"hash_sha1","F31920D636224356E8C7A182C2B9B37E42A09181","public"
"hash_sha1","FE9CA39A8C3261A4A81D3DA55C02EF3EE2B8863F","public"
"hash_sha1","FF7B2C3938306261881C42E78D0DF51D9BCDD574","public"
"domain","abstracts.cngsby.cfd","public"
"domain","adventure.lantial.cfd","public"
"domain","airconditionersontop.com","public"
"domain","artistry.cngsby.sbs","public"
"domain","breakfast.ffiftringg.sbs","public"
"domain","coinsboostbonus.top","public"
"domain","constructive.lantial.us","public"
"domain","discovered.secamondareeng.space","public"
"domain","email.gov.in.gov-in.mywire.org","public"
"domain","expedient.eithert.cfd","public"
"domain","framework.chellor.cfd","public"
"domain","framework.reorget.cfd","public"
"domain","framework.retiont.space","public"
"domain","ity.anoneth.fun","public"
"domain","landscape.chanism.sbs","public"
"domain","mainframe.crellar.sbs","public"
"domain","momentous.debayon.sbs","public"
"domain","motorcyclesincyprus.com","public"
"domain","myhot-cams.life","public"
"domain","oldoak.spindexed.site","public"
"domain","postindia.site","public"
"domain","romancezone.one","public"
"domain","simulators-and-cars.com","public"
"domain","strawberriesandmangos.com","public"
"domain","tavux.participates.cfd","public"
"domain","transmit.chanism.cfd","public"
"domain","tripplebanks.duckdns.org","public"
"domain","workbench.cudwork.cfd","public"
"domain","yourspacegain.top","public"
"hash_md5","0477406F83847D43A3B668CC1E75185F","public"
"hash_md5","09735D305B7D6F071173FE3B62B46D9E","public"
"hash_md5","27927A73B8273DC796DDFC309EC8ECAF","public"
"hash_md5","4154C3553656E94575AEB7183969BFA0","public"
"hash_md5","5F2C5F7620B74D183E206817B723B555","public"
"hash_md5","6495356AFD05DBF8661AF13EF72AB887","public"
"hash_md5","8D56AC580C06BAAC327613202FDBF5EB","public"
"hash_md5","9F7B1AFCE9C8C7D9282C5E791C69E369","public"
"hash_md5","AB2D6846430B8EA18FC08CB7804FCE99","public"
"hash_md5","ADD1BFB2D4B4AD083DCEE40D61A12780","public"
"hash_md5","BC469BCDB585D8E6576FC664A6404A82","public"
"hash_md5","C41957F965F8C38B6CEDF44B62B09298","public"
"hash_md5","CA1B05B97E934511A76A744B53B8EB92","public"
"hash_md5","D00C86EA42958F919C702A9A416A24CE","public"
"hash_md5","E58E5AFA9A94BA474E465DBF919D2C51","public"
"hash_md5","F19542732C33F1B908365DF02A86105C","public"
"hash_md5","FD3FD2F6CDE9E38E92433C152892C03D","public"
"hash_md5","FDE874E8D442E3F0469B3D2F86A45739","public"
"url","https://freeimagecdn.com","public"
"url","https://litter.catbox.moe/eduway.ps1","public"
"url","https://mia.nl.tab.digital/remote.php/dav/files","public"
"url","https://mvnrepo.net","public"
"url","https://my.powerfolder.com/webdav/utils/elzp.txt","public"
"url","https://raw.githubusercontent.com/coder9540/weather_widget/refs/heads/main/SkyWatchWeather.exe","public"
"hash_sha256","105303AE231B9E2FEE43C82AFAC59249593155BBF7BFDC51EDA49CB50351857F","public"
"hash_sha256","287A5F95458301C632D6AA02DE26D7FD9B63C6661AF331DFF1E9B2264D150D23","public"
